Transportista	Origen	Destino	Ruta	Fecha Expedicion	Periodo Facturacion	Volumen	Peso	 Importe 
PDQ	Proveedores	Osorno	Proveedor - Sucursal	08-10-2025	45962	0,84	210	 $33.600 
PDQ	Proveedores	Iquique	Proveedor - Sucursal	14-10-2025	45962	0,041	12	 $4.200 
PDQ	Matta	Iquique	Santiago - Sucursal	14-10-2025	45962	0,007	5	 $4.200 
PDQ	Proveedores	Iquique	Proveedor - Sucursal	14-10-2025	45962	0,139	35	 $7.350 
PDQ	Puerto Montt	Matta	Sucursal - Sucursal	14-10-2025	45962	0,675	169	 $14.365 
PDQ	Puerto Montt	Matta	Sucursal - Sucursal	14-10-2025	45962	0,029	8	 $6.100 
PDQ	Proveedores	Iquique	Proveedor - Sucursal	15-10-2025	45962	0,064	26	 $5.460 
PDQ	Concepcion	Los Libertadores	Sucursal - Sucursal	15-10-2025	45962	0,014	16	 $4.300 
PDQ	Concepcion	Concepcion	Sucursal - Cliente	15-10-2025	45962	0,18	64	 $19.456 
PDQ	Proveedores	Antofagasta	Proveedor - Sucursal	16-10-2025	45962	0,008	2	 $3.700 
PDQ	Proveedores	Antofagasta	Proveedor - Sucursal	16-10-2025	45962	0,217	55	 $10.175 
PDQ	Proveedores	Antofagasta	Proveedor - Sucursal	16-10-2025	45962	0,02	5	 $3.700 
PDQ	Antofagasta	Iquique	Sucursal - Sucursal	16-10-2025	45962	1,2	300	 $42.900 
PDQ	Antofagasta	Calama	Sucursal - Sucursal	16-10-2025	45962	0,023	15	 $7.905 
PDQ	Antofagasta	Antofagasta	Sucursal - Cliente	16-10-2025	45962	0,72	180	 $45.720 
PDQ	Proveedores	Antofagasta	Proveedor - Sucursal	16-10-2025	45962	0,007	16	 $3.700 
PDQ	Puerto Montt	CD Libertadores	Sucursal - Sucursal	16-10-2025	45962	0,003	1	 $6.100 
PDQ	Proveedores	Antofagasta	Proveedor - Sucursal	16-10-2025	45962	0,016	4	 $3.700 
PDQ	Matta	Iquique	Santiago - Sucursal	16-10-2025	45962	0,004	2	 $4.200 
PDQ	Matta	Antofagasta	Santiago - Sucursal	16-10-2025	45962	0,004	2	 $3.700 
PDQ	Proveedores	Antofagasta	Proveedor - Sucursal	17-10-2025	45962	0,015	4	 $3.700 
PDQ	Proveedores	Antofagasta	Proveedor - Sucursal	17-10-2025	45962	0,265	67	 $12.395 
PDQ	Proveedores	Antofagasta	Proveedor - Sucursal	17-10-2025	45962	0,01	3	 $3.700 
PDQ	CD Libertadores	Antofagasta	Santiago - Sucursal	17-10-2025	45962	0,032	8	 $3.700 
PDQ	CD Libertadores	Iquique	Santiago - Sucursal	17-10-2025	45962	0,002	1	 $4.200 
PDQ	Puerto Montt	Osorno	Sucursal - Sucursal	17-10-2025	45962	0,009	3	 $5.104 
PDQ	Puerto Montt	CD Libertadores	Sucursal - Sucursal	17-10-2025	45962	0,007	2	 $6.100 
PDQ	Puerto Montt	Osorno	Sucursal - Sucursal	17-10-2025	45962	0,183	46	 $19.826 
PDQ	Proveedores	Iquique	Proveedor - Sucursal	20-10-2025	45962	1,919	480	 $95.040 
PDQ	Proveedores	La Serena	Proveedor - Sucursal	20-10-2025	45962	0,357	99	 $15.840 
PDQ	Proveedores	La Serena	Proveedor - Sucursal	20-10-2025	45962	0,144	36	 $5.760 
