"","BUS","CAMION","CHASIS CABINADO","MINIBUS","REMOLQUE","SEMIREMOLQUE","TAXIBUS","TRACTOCAMION","cluster"
"90146000",0.16,0.49,0.04,0.06,0.01,0.03,0,0.22,1
"61202000",0.01,0.63,0.03,0.02,0.07,0.09,0,0.14,1
"88277600",0,0.74,0.09,0,0.05,0.07,0,0.04,1
"89622400",0.12,0.44,0.05,0.05,0.09,0.08,0,0.19,1
"79992900",0,0.13,0.06,0,0.05,0.32,0,0.45,2
"95896000",0.82,0.06,0,0.09,0,0.01,0,0.03,3
"85131900",0.01,0.24,0.07,0,0.07,0.2,0,0.41,2
"76327820",0.03,0.15,0.07,0.02,0.04,0.36,0,0.33,2
"61103035",0.28,0.4,0.03,0.18,0.01,0.07,0,0.04,1
"89696400",0.03,0.63,0.06,0.03,0.12,0.06,0,0.07,1
"61938500",0.27,0.37,0.03,0.27,0.01,0.02,0,0.03,1
"79705390",0,0.2,0.13,0,0.04,0.23,0,0.4,2
"92475000",0.13,0.15,0.12,0.02,0.06,0.08,0,0.45,2
"96824110",0,0.64,0.15,0.01,0.04,0.08,0,0.07,1
"76059250",0.01,0.06,0,0,0.01,0.5,0,0.42,2
"77296910",0,0.12,0.19,0,0.09,0.39,0,0.22,2
"78057000",0,0.25,0.01,0,0.15,0.28,0,0.31,2
"77412830",0.01,0.24,0.03,0.01,0.02,0.25,0,0.43,2
"91806000",0,0.78,0.01,0,0.01,0.12,0,0.08,1
"99538350",0,0.76,0.06,0.02,0,0.14,0,0.01,1
"80983500",0.51,0.19,0.01,0,0.07,0.12,0,0.1,3
"76041871",0,0.8,0.11,0,0,0.09,0,0,1
"76752003",0.03,0.33,0.11,0.11,0,0.01,0,0.41,1
"84060600",0.01,0.53,0.03,0.01,0.01,0.25,0,0.15,1
"79695460",0,0.17,0.06,0,0.05,0.37,0,0.35,2
"96862140",0.08,0.59,0.01,0,0,0.14,0,0.18,1
"78993940",0,0.09,0.08,0.01,0.11,0.29,0,0.42,2
"99593350",0.43,0.15,0.04,0.24,0,0.04,0,0.11,3
"96568740",0,0.57,0.18,0,0,0.22,0,0.04,1
"78500900",0,0.24,0.03,0,0.3,0.22,0,0.22,4
"76230425",0,0.12,0.01,0,0.03,0.36,0,0.47,2
"86431800",0,0.75,0.21,0.04,0,0,0,0,1
"77603120",0,0.27,0.08,0.01,0.11,0.31,0,0.21,2
"6658278",0,0.14,0.18,0,0.03,0.34,0,0.31,2
"79620090",0.06,0.11,0.03,0.04,0.1,0.33,0,0.33,2
"88842000",0,0.78,0.04,0,0.14,0.01,0,0.01,1
"92909000",0,0.71,0.06,0.06,0,0.01,0,0.16,1
"78058870",0,0.99,0.01,0,0,0,0,0,1
"76188275",0,0,0,0,0,0.57,0,0.43,2
"79801150",0.03,0.51,0.03,0,0,0.26,0,0.16,1
"99575470",0.76,0.01,0,0.22,0,0,0,0,3
"96827370",0,0.65,0.26,0.03,0.03,0.03,0,0,5
"78960970",0,0.34,0.04,0,0.04,0.21,0,0.37,2
"76487766",0.21,0.04,0.03,0,0.03,0.4,0,0.29,2
"76303840",0,0.13,0,0,0.01,0.37,0,0.49,2
"96701940",0.07,0.63,0.04,0.03,0.01,0.1,0,0.1,1
"78771490",0,0.12,0.03,0,0.09,0.37,0,0.39,2
"91502000",0.01,0.39,0.12,0.03,0,0,0,0.45,1
"9125149",0.48,0.27,0.04,0.06,0.06,0.04,0,0.04,3
"78532500",0,0.08,0,0,0.09,0.35,0,0.48,2
"96890510",0.02,0.5,0.2,0,0,0.11,0,0.18,1
"86151000",0.03,0.21,0.03,0.03,0,0.29,0,0.41,2
"87666100",0,0.23,0.08,0.02,0.02,0.33,0,0.33,2
"78137730",0.11,0.58,0.09,0.11,0,0.09,0,0.02,1
"76075637",0,0.98,0.02,0,0,0,0,0,1
"88397100",0.02,0.2,0,0.05,0.09,0.44,0,0.2,2
"77469220",0,0.11,0.19,0,0.22,0.1,0,0.38,2
"78567810",0.03,0.62,0.03,0.02,0,0.21,0,0.1,1
"86146400",0,0.52,0.07,0.02,0,0.31,0,0.08,1
"76065472",0.02,0.61,0.07,0,0,0.23,0,0.08,1
"79552450",0,0.62,0,0.1,0.02,0.18,0,0.08,1
"78454830",0.92,0,0,0.08,0,0,0,0,3
"83226000",0.07,0.24,0.05,0,0.24,0.29,0,0.12,4
"79649140",0.31,0.27,0.03,0.15,0,0,0,0.24,1
"99589960",0,0.47,0.17,0,0.12,0.1,0,0.14,1
"77548970",0,0.09,0.1,0.02,0.17,0.33,0,0.29,2
"89126400",0.02,0.52,0.09,0.02,0,0.28,0,0.09,1
