"","Despacho","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","cluster"
"148845",0,0,0,0,1,0,1
"308519",0,0,0,1,0,0,2
"530450",0,0.58,0,0.42,0,0.04,3
"693520",0,0,0.23,0.77,0,0.05,4
"1062033",0,0,1,0,0,0.06,5
"1214858",0,0,0,1,0,0,2
"1226290",0,0,1,0,0,0.28,5
"1243186",0,0,0,0,1,0,1
"1311716",0,0,0.98,0,0.02,0.13,5
"1421322",0,1,0,0,0,0,3
"1468997",0,1,0,0,0,0,3
"1603231",0,0,0,0,1,0,1
"1630035",0,0,0,0,1,0,1
"1695726",0,0,0,1,0,0.14,4
"1698346",0,0,0.93,0,0.07,0.07,5
"1845272",0,0,0,1,0,0,2
"1948010",0,0,0,0.35,0.65,0,1
"1948449",0,0.18,0,0.82,0,0.03,2
"1986033",0,0.92,0,0.08,0,0,3
"2026630",0,0,0,0,1,0,1
"2026769",0,0,0,1,0,0,2
"2086840",0,1,0,0,0,0.1,3
"2150806",0,1,0,0,0,0,3
"2162057",0,1,0,0,0,0,3
"2184449",0,1,0,0,0,0,3
"2275184",0,0,0.53,0.47,0,0.05,5
"2315232",0,0,0.98,0,0.02,0.03,5
"2323951",0,0,1,0,0,0.03,5
"2324034",0,0,0.49,0.01,0.49,0.06,5
"2326515",0,0,0.91,0,0.09,0.09,5
"2337488",0,0.87,0,0,0.13,0,3
"2337901",0,0.06,0.3,0.64,0,0.03,2
"2339493",0,0.01,0.52,0.42,0.06,0.04,5
"2362204",0,1,0,0,0,0,3
"2375403",0,0,0.51,0.46,0.03,0.13,5
"2389958",0,0.06,0.54,0.39,0,0.06,5
"2415612",0,0,0,1,0,0,2
"2465006",0,0.08,0.82,0,0.1,0.08,5
"2465287",0,0,0,1,0,0.1,4
"2467824",0,0,0.95,0,0.05,0.05,5
"2467854",0,0,1,0,0,0.12,5
"2509225",0,1,0,0,0,0,3
"2516363",0,0,0.81,0,0.19,0.13,5
"2519866",0,0,0,1,0,0.05,2
"2574653",0,0,1,0,0,0,5
"2582797",0,0,0,1,0,0.12,4
"2601175",0,0,0,0,1,0,1
"2622719",0,0.1,0.54,0.37,0,0.07,5
"2658740",0,1,0,0,0,0,3
"2675268",0,1,0,0,0,0,3
"2688844",0,0,0,1,0,0.1,4
"2700660",0,0,0.94,0.06,0,0.11,5
"2708236",0,0.23,0.77,0,0,0,5
"2712611",0,0,0.82,0,0.18,0.25,5
"2783677",0,0,0,1,0,0.2,4
"2784779",0,0,1,0,0,0.02,5
"2800794",0,0.86,0,0.14,0,0.1,3
"2803212",0,1,0,0,0,0,3
"2821056",0,0,0,1,0,0,2
"2825739",0,0,1,0,0,0.09,5
"2836576",0,0,0.99,0,0.01,0.09,5
"2867249",0,0,0,1,0,0,2
"2868327",0,0,0,1,0,0.04,2
"2880233",0,0,0,1,0,0,2
"2882131",0,0,0,1,0,0.09,4
"2883149",0,0.39,0,0.61,0,0.04,2
"2904854",0,0,0,1,0,0,2
"2907107",0,0.05,0.79,0,0.15,0.03,5
"2908938",0,0,0,1,0,0,2
"2913584",0,0.01,0.89,0.1,0,0.18,5
"2919864",0,0.33,0.67,0,0,0.08,5
"2922979",0,0.14,0.14,0.72,0,0.08,4
"2958060",0,0,0,1,0,0.16,4
"2966100",0,0,0.7,0.3,0,0.07,5
"2979737",0,0.61,0,0.39,0,0.03,3
"2992531",0,0,1,0,0,0.15,5
"3009835",0,1,0,0,0,0,3
"3009929",0,0,0,1,0,0,2
"3023010",0,0,0,1,0,0.03,2
"3023561",0,0,0,0,1,0,1
"3024812",0,0.39,0,0.57,0.04,0.03,2
"3025966",0,0,0,1,0,0.18,4
"3030252",0,0.32,0.63,0.05,0,0.13,5
"3085718",0,0.25,0,0.75,0,0.06,4
"3094513",0,0,1,0,0,0.04,5
"3095223",0,0,0,1,0,0.12,4
"3096616",0,0,1,0,0,0,5
"3097545",0,0.87,0,0.13,0,0,3
"3116247",0,0,0,1,0,0.08,4
"3127049",0,0,0,1,0,0,2
"3128904",0,0,1,0,0,0,5
"3132913",0,0.19,0,0.81,0,0.05,4
"3140150",0,0.03,0.88,0.03,0.06,0.04,5
"3140369",0,1,0,0,0,0,3
"3141567",0,0.37,0,0.63,0,0.02,2
"3142712",0,0,1,0,0,0.29,5
"3146592",0,0.17,0.03,0.79,0.01,0.11,4
"3151232",0,0,0,1,0,0.04,2
"3156590",0,0.05,0.79,0.14,0.02,0.05,5
"3160540",0,0.04,0,0.96,0,0.19,4
"3163507",0,0,0,1,0,0,2
"3171105",0,0,0.96,0.04,0,0.04,5
"3179384",0,0,0,0,1,0,1
"3185678",0,0,0,1,0,0,2
"3194533",0,0,0.71,0,0.29,0.09,5
"3204408",0,1,0,0,0,0,3
"3204648",0,0.07,0.8,0.13,0,0.06,5
"3205494",0,0,0,1,0,0.15,4
"3208941",0,0,0,1,0,0,2
"3216353",0,0,0.46,0.44,0.1,0.02,5
"3228727",0,0,0,0,1,0,1
"3228920",0,0,0.51,0.49,0,0,5
"3228989",0,0,0,0,1,0,1
"3235534",0,0,0,1,0,0,2
"3251504",0,0.07,0,0.05,0.88,0,1
"3255483",0,0,0,0,1,0,1
"3256667",0,0,0,1,0,0.1,4
"3259883",0,0,1,0,0,0.15,5
"3262633",0,0,0,0,1,0,1
"3265185",0,0,0,1,0,0,2
"3268204",0,0,0,1,0,0.2,4
"3269953",0,0,0,0,1,0,1
"3269963",0,0.49,0.23,0.28,0,0.08,5
"3270640",0,1,0,0,0,0.07,3
"3273946",0,0,0,1,0,0.03,2
"3275032",0,0,0.94,0.01,0.05,0.04,5
"3275188",0,0,0.14,0,0.86,0.01,1
"3275635",0,0,0,0,1,0,1
"3275870",0,0,0.7,0.1,0.2,0.07,5
"3291164",0,0,1,0,0,0,5
"3296754",0,0,0.48,0.38,0.14,0.05,5
"3298086",0,0,1,0,0,0.04,5
"3305356",0,0.27,0.56,0.17,0,0.1,5
"3309248",0,0,0,1,0,0.17,4
"3313410",0,0,0,1,0,0,2
"3320590",0,0,0,1,0,0.14,4
"3322825",0,0.02,0.46,0.52,0,0.02,5
"3324768",0,0.01,0.22,0.77,0.01,0.18,4
"3326817",0,0.9,0,0.1,0,0.02,3
"3352464",0,0,0,1,0,0.08,4
"3360477",0,0,0,1,0,0.12,4
"3370197",0,0.61,0,0.21,0.18,0.05,3
"3372864",0,0,0,1,0,0.16,4
"3379835",0,0,0,1,0,0,2
"3381212",0,0,0.84,0,0.16,0,5
"3382539",0,0,0,1,0,0,2
"3390495",0,0,0.87,0,0.13,0,5
"3398280",0,0,0,1,0,0.03,2
"3399007",0,0,1,0,0,0,5
"3415115",0,0,0,1,0,0.01,2
"3415670",0,0,0,1,0,0,2
"3417134",0,0,1,0,0,0.06,5
"3419141",0,0,0,0.84,0.16,0,2
"3430609",0,0.21,0,0.79,0,0.07,4
"3436924",0,0,0,0.06,0.94,0,1
"3444294",0,0.07,0.9,0.02,0,0.12,5
"3451384",0,0,1,0,0,0.04,5
"3456318",0,0,0.97,0,0.03,0,5
"3457197",0,0.11,0.24,0.65,0,0.08,4
"3466885",0,0,0,1,0,0,2
"3472381",0,0,0,1,0,0,2
"3472477",0,0,0,1,0,0.12,4
"3479146",0,0,0,1,0,0.1,4
"3480111",0,0,0,1,0,0.2,4
"3485888",0,0,0,1,0,0.1,4
"3500161",0,0,0,1,0,0.1,4
"3502039",0,0.33,0,0.67,0,0.07,4
"3503800",0,0,0,1,0,0,2
"3505343",0,0,0,0,1,0,1
"3506814",0,0.25,0.42,0.33,0,0.02,5
"3509250",0,0,0.91,0,0.09,0.08,5
"3510475",0,0,0,1,0,0.17,4
"3511093",0,0.25,0,0.67,0.08,0.01,2
"3520698",0,0,0.79,0.21,0,0.03,5
"3522393",0,0,0,1,0,0,2
"3523298",0,0.31,0,0.69,0,0.09,4
"3524624",0,0,1,0,0,0,5
"3527892",0,0.35,0.04,0.61,0.01,0.03,2
"3535949",0,0,0,1,0,0,2
"3537646",0,0,1,0,0,0.08,5
"3541667",0,1,0,0,0,0,3
"3558527",0,0.02,0,0.98,0,0.01,2
"3567429",0,0,0,1,0,0,2
"3568012",0,0,0.74,0.26,0,0.01,5
"3571742",0,0.14,0.68,0.19,0,0.02,5
"3572491",0,0,0,0,1,0,1
"3575484",0,0.41,0,0.59,0,0,2
"3582295",0,0.01,0,0.98,0.01,0.22,4
"3589389",0,0,0,1,0,0.12,4
"3592016",0,0,0,1,0,0.02,2
"3592780",0,0.57,0,0.43,0,0.02,3
"3592979",0,0,0,1,0,0.01,2
"3596353",0,1,0,0,0,0,3
"3596910",0,0,0,1,0,0,2
"3599802",0,0,0,1,0,0.17,4
"3608404",0,0,0,1,0,0,2
"3609301",0,0,0,1,0,0,2
