"","Frecuencia","$ Margen","$ Venta","Recencia","cluster"
"148845",3,35540,35545,426,1
"308519",7,25665,77160,216,1
"530450",3,26721,69144,262,1
"693520",37,614194,1417567,25,2
"1062033",1,34647,62261,108,2
"1214858",1,6233,12597,438,1
"1226290",1,50160,114946,227,1
"1243186",1,9243,9244,747,3
"1311716",12,245874,1009118,363,1
"1421322",1,8986,31084,669,3
"1468997",1,360,6956,906,4
"1603231",2,40334,40337,264,1
"1630035",3,42101,42102,234,1
"1695726",1,39245,81375,712,3
"1698346",6,223176,508232,481,3
"1845272",1,30362,53076,931,4
"1948010",5,24817,34026,812,4
"1948449",51,204644,523369,69,2
"1986033",2,13071,41958,362,1
"2026630",3,24453,24453,649,3
"2026769",4,7114,15774,87,2
"2086840",2,136699,671742,117,2
"2150806",1,6139,12597,594,3
"2162057",1,7613,25202,611,3
"2184449",1,7613,25202,606,3
"2275184",65,4981951,15417527,75,2
"2315232",15,169907,603352,598,3
"2323951",3,442838,1305600,836,4
"2324034",8,104230,150192,963,4
"2326515",3,185300,307833,865,4
"2337488",3,15386,35622,60,2
"2337901",29,431224,1042362,350,1
"2339493",74,1736217,4092113,74,2
"2362204",1,12536,31916,826,4
"2375403",22,861171,2098536,325,1
"2389958",6,180118,432904,223,1
"2415612",2,34292,70101,208,1
"2465006",6,153190,331572,941,4
"2465287",1,18630,60429,725,3
"2467824",5,295700,1032420,311,1
"2467854",3,84456,344132,731,3
"2509225",1,8600,34706,724,3
"2516363",5,23226,46328,748,3
"2519866",2,10634,25006,319,1
"2574653",1,19408,47142,941,4
"2582797",1,63430,120245,272,1
"2601175",4,30283,30671,889,4
"2622719",25,412066,1321023,635,3
"2658740",1,8600,34706,889,4
"2675268",5,42404,179303,529,3
"2688844",2,19569,33655,388,1
"2700660",3,348327,1575415,73,2
"2708236",2,62667,201496,934,4
"2712611",4,82615,187892,1020,4
"2783677",6,151430,365824,143,2
"2784779",2,21396,97286,615,3
"2800794",5,20293,73489,821,4
"2803212",3,32853,136966,347,1
"2821056",1,5294,9210,488,3
"2825739",2,72005,195790,922,4
"2836576",5,443244,1485706,158,2
"2867249",1,1151,5378,592,3
"2868327",1,30034,125034,504,3
"2880233",6,4156,9705,522,3
"2882131",3,44117,80391,328,1
"2883149",4,25325,88843,46,2
"2904854",1,1197,1917,32,2
"2907107",8,119388,222875,188,2
"2908938",1,5748,8084,880,4
"2913584",14,1234879,4754927,700,3
"2919864",11,185009,683833,723,3
"2922979",17,260433,940392,557,3
"2958060",1,77109,225586,958,4
"2966100",7,575970,2246903,152,2
"2979737",7,51401,166020,559,3
"2992531",1,25127,104912,826,4
"3009835",2,18022,73941,667,3
"3009929",1,11435,22824,154,2
"3023010",9,319987,962746,269,1
"3023561",2,18316,18824,831,4
"3024812",36,605869,1992881,38,2
"3025966",5,22978,40345,748,3
"3030252",15,810164,2577661,60,2
"3085718",37,718672,1607473,146,2
"3094513",1,64732,359784,685,3
"3095223",1,3896,7994,301,1
"3096616",1,74276,285698,419,1
"3097545",2,13442,40605,347,1
"3116247",1,1035,3064,625,3
"3127049",1,33336,167900,769,4
"3128904",1,35098,139478,266,1
"3132913",32,965120,3281790,62,2
"3140150",17,1167945,3465019,24,2
"3140369",2,33379,125185,661,3
"3141567",4,26398,84286,51,2
"3142712",44,1632414,4759020,42,2
"3146592",378,4789154,13359896,25,2
"3151232",1,15458,56462,136,2
"3156590",81,2638240,9849958,46,2
"3160540",8,89542,217426,107,2
"3163507",2,8706,14480,361,1
"3171105",4,185700,491214,270,1
"3179384",2,41007,41008,587,3
"3185678",1,2474,24689,959,4
"3194533",3,48114,74835,623,3
"3204408",1,7914,33109,790,4
"3204648",31,2106486,6748507,25,2
"3205494",9,354590,708661,812,4
"3208941",10,44036,210901,634,3
"3216353",6,115913,289293,72,2
"3228727",1,9663,9664,681,3
"3228920",4,109500,659292,438,1
"3228989",1,3696,3697,283,1
"3235534",2,18088,47445,690,3
"3251504",83,1018279,1105619,285,1
"3255483",3,56299,56304,888,4
"3256667",1,1646,2662,986,4
"3259883",1,134404,538816,854,4
"3262633",4,35426,37394,948,4
"3265185",1,2967,11756,916,4
"3268204",1,14089,29446,907,4
"3269953",2,26052,26052,964,4
"3269963",23,261483,859583,553,3
"3270640",1,14560,37200,1004,4
"3273946",4,46392,186546,740,3
"3275032",3,84140,185648,157,2
"3275188",83,725006,795272,160,2
"3275635",18,136263,138743,60,2
"3275870",6,72238,188971,734,3
"3291164",2,4764,21008,493,3
"3296754",26,397406,935859,217,1
"3298086",1,278240,772824,101,2
"3305356",4,127935,416980,122,2
"3309248",2,15542,24129,322,1
"3313410",2,6307,13471,836,4
"3320590",17,406353,1050841,217,1
"3322825",14,274620,555669,95,2
"3324768",41,2086383,4969256,103,2
"3326817",3,36684,125784,651,3
"3352464",4,38059,69875,592,3
"3360477",3,46287,188319,369,1
"3370197",27,182482,420060,167,2
"3372864",30,854727,2309498,147,2
"3379835",1,41226,67311,399,1
"3381212",3,44334,119059,963,4
"3382539",1,15502,75614,1000,4
"3390495",3,58328,154436,346,1
"3398280",13,117600,246564,75,2
"3399007",1,288152,1075560,82,2
"3415115",15,237072,562093,338,1
"3415670",1,10160,48655,877,4
"3417134",1,26570,54488,124,2
"3419141",7,145551,382798,163,2
"3430609",68,865913,2036631,153,2
"3436924",4,46311,58312,903,4
"3444294",14,781141,3551082,164,2
"3451384",1,94372,217800,101,2
"3456318",3,33422,275798,990,4
"3457197",87,1796872,6287311,276,1
"3466885",4,14957,36181,486,3
"3472381",1,50006,248731,905,4
"3472477",229,2377696,5816534,69,2
"3479146",1,1353,3404,997,4
"3480111",3,8812,24531,1019,4
"3485888",1,67297,122407,987,4
"3500161",1,18032,34147,787,4
"3502039",9,96673,174675,423,1
"3503800",1,51957,192429,690,3
"3505343",2,27002,28403,151,2
"3506814",7,86948,549515,880,4
"3509250",8,326225,613519,115,2
"3510475",18,892229,2551742,38,2
"3511093",63,623846,1720736,62,2
"3520698",2,214912,813380,234,1
"3522393",1,1509,2580,1004,4
"3523298",7,121620,299353,823,4
"3524624",1,6408,15210,541,3
"3527892",176,617510,1518153,23,2
"3535949",1,9882,35244,490,3
"3537646",4,96435,337060,143,2
"3541667",1,22413,105034,25,2
"3558527",18,558292,1709996,404,1
"3567429",1,1698,5026,42,2
"3568012",12,227504,752235,692,3
"3571742",9,208071,976423,508,3
"3572491",9,57606,59246,405,1
"3575484",9,64912,136197,635,3
"3582295",79,1671906,4641813,26,2
"3589389",1,5710,10278,807,4
"3592016",5,22107,64779,710,3
"3592780",8,14409,52571,583,3
"3592979",1,32224,63872,700,3
"3596353",1,6913,32437,1019,4
"3596910",1,9965,16050,595,3
"3599802",2,55819,115776,27,2
"3608404",1,1404,2017,735,3
"3609301",1,21646,56563,984,4
"3611018",6,94858,98659,56,2
"3614702",35,172411,855996,117,2
"3615984",3,37480,37480,259,1
"3617149",1,119520,756180,775,4
"3618971",3,46632,80306,242,1
"3654766",1,17731,35871,824,4
"3657609",9,148812,321098,516,3
"3659346",1,94514,170807,96,2
