Cluster;Clientes;%;Suma de Venta;Suma de Venta2;;;;;;;;;;;;;;;;;;;;;;;;;
1; 10.982 ;13%; 701.384.478 ;0,91%;;;;;;;;;;;;;;;;;;;;;;;;;
2; 19.718 ;24%; 5.893.930.486 ;7,64%;;;;;;;;;;;;;;;;;;;;;;;;;
3; 7.516 ;9%; 2.298.173.160 ;2,98%;;;;;;;;;;;;;;;;;;;;;;;;;
4; 13.377 ;16%; 12.689.892.706 ;16,45%;;;;;;;;;;;;;;;;;;;;;;;;;
5; 31.845 ;38%; 55.539.058.528 ;72,01%;;;;;;;;;;;;;;;;;;;;;;;;;
Promedio; 83.438 ;100%; 77.122.439.358 ;100,00%;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cata cuántos meses compran; 16 ; 8 ; 8 ; 3 ; 4 ;;;;;;;;;;;;;;;;;;;;;;;;
;Cluster;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valores;1;2;3;4;5;Promedio;;;;;;;;;;;;;;;;;;;;;;;
Promedio de Recencia; 436 ; 365 ; 365 ; 365 ; 305 ; 352 ;;;;;;;;;;;;;;;;;;;;;;;
Promedio de Frecuencia; 2 ; 4 ; 5 ; 11 ; 9 ; 7 ;;;;;;;;;;;;;;;;;;;;;;;
Promedio de Venta; $63.954 ; $299.275 ; $305.893 ; $965.451 ; $1.761.411 ; $930.880 ;;;;;;;;;;;;;;;;;;;;;;;
Penetración Lubricantes;1%;4%;88%;5%;3%;11%;;;;;;;;;;;;;;;;;;;;;;;
Penetración Neumáticos;0%;1%;1%;4%;85%;33%;;;;;;;;;;;;;;;;;;;;;;;
Penetración Repuestos;2%;93%;10%;90%;8%;41%;;;;;;;;;;;;;;;;;;;;;;;
Penetración Servicios;97%;1%;1%;1%;5%;15%;;;;;;;;;;;;;;;;;;;;;;;
Uso de descuentos;0%;1%;1%;11%;7%;5%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuenta de RUT;Cluster;;;;;;;Cuenta de RUT;Cluster;;;;;;;;;;;;;;;;;;;;
Cluster;1;2;3;4;5;Promedio;;Cluster;1;2;3;4;5;Promedio;;;;;;;;;;;;;;;
Perdidos;22,81%;16,78%;16,73%;18,24%;12,64%;16,23%;;Perdidos;18,60%;24,58%;9,35%;17,83%;29,64%;100,00%;;;;;;;;;;;;;;;
En Riesgo;48,02%;39,88%;40,24%;32,06%;29,61%;35,84%;;Promedio;18,60%;24,58%;9,35%;17,83%;29,64%;100,00%;;;;;;;;;;;;;;;
Top;2,25%;12,86%;14,20%;27,67%;32,48%;21,39%;;;;;;;;;;;;;;;;;;;;;;;
Nuevos Clientes;20,87%;19,50%;16,73%;7,61%;14,54%;15,66%;;;;;;;;;;;;;;;;;;;;;;;
Leales;2,95%;8,22%;9,86%;12,12%;10,55%;9,18%;;;;;;;;;;;;;;;;;;;;;;;
Potenciales Leales;3,09%;2,76%;2,24%;2,30%;0,18%;1,70%;;;;;;;;;;;;;;;;;;;;;;;
Promedio;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cluster;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valores;1;2;3;4;5;Promedio;;;;;;;;;;;;;;;;;;;;;;;
Promedio de % BUS;14%;17%;12%;20%;10%;14%;;;;;;;;;;;;;;;;;;;;;;;
Promedio de % CAMION;45%;45%;53%;38%;49%;46%;;;;;;;;;;;;;;;;;;;;;;;
Promedio de % CHASIS CABINADO;5%;5%;4%;4%;6%;5%;;;;;;;;;;;;;;;;;;;;;;;
Promedio de % MINIBUS;11%;4%;7%;3%;5%;5%;;;;;;;;;;;;;;;;;;;;;;;
Promedio de % REMOLQUE;4%;7%;5%;10%;8%;8%;;;;;;;;;;;;;;;;;;;;;;;
Promedio de % SEMIREMOLQUE;10%;10%;8%;12%;10%;10%;;;;;;;;;;;;;;;;;;;;;;;
Promedio de % TAXIBUS;0%;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;;;
Promedio de % TRACTOCAMION;11%;12%;12%;13%;11%;12%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuenta de RUT;Cluster;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cluster;1;2;3;4;5;Promedio;;;;;;;;;;;;;;;;;;;;;;;
Sin Información;60,31%;46,87%;45,29%;27,51%;40,42%;42,93%;;;;;;;;;;;;;;;;;;;;;;;
Transporte De Carga;12,37%;27,71%;27,10%;41,65%;30,55%;28,95%;;;;;;;;;;;;;;;;;;;;;;;
Faenas/Extraccion;3,07%;5,63%;7,85%;5,61%;7,68%;6,27%;;;;;;;;;;;;;;;;;;;;;;;
Transporte De Pasajeros;2,41%;4,54%;3,58%;6,74%;3,31%;4,06%;;;;;;;;;;;;;;;;;;;;;;;
Persona Natural;15,28%;5,58%;5,83%;3,99%;7,25%;7,26%;;;;;;;;;;;;;;;;;;;;;;;
Servicios;2,10%;3,04%;3,89%;3,30%;3,06%;3,04%;;;;;;;;;;;;;;;;;;;;;;;
Mantenimiento Y Repuestos De Vehiculos;1,80%;3,09%;2,74%;5,97%;2,50%;3,13%;;;;;;;;;;;;;;;;;;;;;;;
#N/D;0,14%;0,12%;0,04%;1,74%;0,99%;0,71%;;;;;;;;;;;;;;;;;;;;;;;
Comercio;1,88%;2,35%;2,17%;2,54%;2,74%;2,45%;;;;;;;;;;;;;;;;;;;;;;;
Industrial;0,46%;0,74%;0,80%;0,82%;0,75%;0,73%;;;;;;;;;;;;;;;;;;;;;;;
Mercado Libre;0,03%;0,23%;0,60%;0,01%;0,24%;0,20%;;;;;;;;;;;;;;;;;;;;;;;
0;0,00%;0,01%;0,01%;0,01%;0,13%;0,05%;;;;;;;;;;;;;;;;;;;;;;;
Sin informacion;0,01%;0,01%;0,00%;0,03%;0,12%;0,05%;;;;;;;;;;;;;;;;;;;;;;;
Mercado Público;0,14%;0,08%;0,11%;0,07%;0,27%;0,16%;;;;;;;;;;;;;;;;;;;;;;;
Leasing Financiero;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;;;;;;;;;;;;;;;;;;;;;;
Promedio;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;;;;;;;;;;;;;;;;;;;;;;;
