"","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","Frecuencia","$ Venta.y","Recencia","cluster"
"148845",0,0,0,1,0,3,35545,426,1
"308519",0,0,1,0,0,7,77160,216,2
"530450",0.58,0,0.42,0,0.04,3,69144,262,3
"693520",0,0.23,0.77,0,0.05,37,1417567,25,2
"1062033",0,1,0,0,0.06,1,62261,108,4
"1214858",0,0,1,0,0,1,12597,438,2
"1226290",0,1,0,0,0.28,1,114946,227,4
"1243186",0,0,0,1,0,1,9244,747,1
"1311716",0,0.98,0,0.02,0.13,12,1009118,363,4
"1421322",1,0,0,0,0,1,31084,669,3
"1468997",1,0,0,0,0,1,6956,906,3
"1603231",0,0,0,1,0,2,40337,264,1
"1630035",0,0,0,1,0,3,42102,234,1
"1695726",0,0,1,0,0.14,1,81375,712,5
"1698346",0,0.93,0,0.07,0.07,6,508232,481,4
"1845272",0,0,1,0,0,1,53076,931,5
"1948010",0,0,0.35,0.65,0,5,34026,812,1
"1948449",0.18,0,0.82,0,0.03,51,523369,69,2
"1986033",0.92,0,0.08,0,0,2,41958,362,3
"2026630",0,0,0,1,0,3,24453,649,1
"2026769",0,0,1,0,0,4,15774,87,2
"2086840",1,0,0,0,0.1,2,671742,117,3
"2150806",1,0,0,0,0,1,12597,594,3
"2162057",1,0,0,0,0,1,25202,611,3
"2184449",1,0,0,0,0,1,25202,606,3
"2275184",0,0.53,0.47,0,0.05,65,15417527,75,4
"2315232",0,0.98,0,0.02,0.03,15,603352,598,4
"2323951",0,1,0,0,0.03,3,1305600,836,4
"2324034",0,0.49,0.01,0.49,0.06,8,150192,963,1
"2326515",0,0.91,0,0.09,0.09,3,307833,865,4
"2337488",0.87,0,0,0.13,0,3,35622,60,3
"2337901",0.06,0.3,0.64,0,0.03,29,1042362,350,2
"2339493",0.01,0.52,0.42,0.06,0.04,74,4092113,74,4
"2362204",1,0,0,0,0,1,31916,826,3
"2375403",0,0.51,0.46,0.03,0.13,22,2098536,325,2
"2389958",0.06,0.54,0.39,0,0.06,6,432904,223,4
"2415612",0,0,1,0,0,2,70101,208,2
"2465006",0.08,0.82,0,0.1,0.08,6,331572,941,4
"2465287",0,0,1,0,0.1,1,60429,725,5
"2467824",0,0.95,0,0.05,0.05,5,1032420,311,4
"2467854",0,1,0,0,0.12,3,344132,731,4
"2509225",1,0,0,0,0,1,34706,724,3
"2516363",0,0.81,0,0.19,0.13,5,46328,748,4
"2519866",0,0,1,0,0.05,2,25006,319,2
"2574653",0,1,0,0,0,1,47142,941,4
"2582797",0,0,1,0,0.12,1,120245,272,2
"2601175",0,0,0,1,0,4,30671,889,1
"2622719",0.1,0.54,0.37,0,0.07,25,1321023,635,4
"2658740",1,0,0,0,0,1,34706,889,3
"2675268",1,0,0,0,0,5,179303,529,3
"2688844",0,0,1,0,0.1,2,33655,388,2
"2700660",0,0.94,0.06,0,0.11,3,1575415,73,4
"2708236",0.23,0.77,0,0,0,2,201496,934,4
"2712611",0,0.82,0,0.18,0.25,4,187892,1020,5
"2783677",0,0,1,0,0.2,6,365824,143,2
"2784779",0,1,0,0,0.02,2,97286,615,4
"2800794",0.86,0,0.14,0,0.1,5,73489,821,3
"2803212",1,0,0,0,0,3,136966,347,3
"2821056",0,0,1,0,0,1,9210,488,2
"2825739",0,1,0,0,0.09,2,195790,922,4
"2836576",0,0.99,0,0.01,0.09,5,1485706,158,4
"2867249",0,0,1,0,0,1,5378,592,2
"2868327",0,0,1,0,0.04,1,125034,504,2
"2880233",0,0,1,0,0,6,9705,522,2
"2882131",0,0,1,0,0.09,3,80391,328,2
"2883149",0.39,0,0.61,0,0.04,4,88843,46,2
"2904854",0,0,1,0,0,1,1917,32,2
"2907107",0.05,0.79,0,0.15,0.03,8,222875,188,4
"2908938",0,0,1,0,0,1,8084,880,5
"2913584",0.01,0.89,0.1,0,0.18,14,4754927,700,4
"2919864",0.33,0.67,0,0,0.08,11,683833,723,4
"2922979",0.14,0.14,0.72,0,0.08,17,940392,557,5
"2958060",0,0,1,0,0.16,1,225586,958,5
"2966100",0,0.7,0.3,0,0.07,7,2246903,152,4
"2979737",0.61,0,0.39,0,0.03,7,166020,559,3
"2992531",0,1,0,0,0.15,1,104912,826,4
"3009835",1,0,0,0,0,2,73941,667,3
"3009929",0,0,1,0,0,1,22824,154,2
"3023010",0,0,1,0,0.03,9,962746,269,2
"3023561",0,0,0,1,0,2,18824,831,1
"3024812",0.39,0,0.57,0.04,0.03,36,1992881,38,2
