RUT;Despacho;Lubricantes;Neumaticos;Repuestos;Servicios
148845;0;0;0;0;1
308519;0;0;0;1;0
530450;0;0,33;0;0,67;0
693520;0;0;0,03;0,97;0
935573;0;0,33;0;0,67;0
1062033;0;0;1;0;0
1075427;0;0;0;1;0
1214858;0;0;0;1;0
1226290;0;0;1;0;0
1243186;0;0;0;0;1
1311716;0;0;0,5;0;0,5
1316887;0;0;0;1;0
1421322;0;1;0;0;0
1468997;0;1;0;0;0
1603231;0;0;0;0;1
1630035;0;0;0;0;1
1695726;0;0;0;1;0
1698346;0;0;0,33;0;0,67
1845272;0;0;0;1;0
1948010;0;0;0;0,6;0,4
1948449;0;0,22;0;0,78;0
1986033;0;0,5;0;0,5;0
1986154;0;0;0;1;0
2026630;0;0;0;0;1
2026769;0;0;0;1;0
2086840;0;1;0;0;0
2150806;0;1;0;0;0
2162057;0;1;0;0;0
2184449;0;1;0;0;0
2275184;0;0;0,18;0,82;0
2315232;0;0;0,73;0;0,27
2323951;0;0;1;0;0
2324034;0;0;0,12;0,12;0,75
2326515;0;0;0,33;0;0,67
2337488;0;0,33;0;0;0,67
2337901;0;0,03;0,03;0,93;0
2339493;0;0,01;0,18;0,5;0,31
2362204;0;1;0;0;0
2375403;0;0;0,14;0,68;0,18
2389958;0;0,17;0,17;0,67;0
2415612;0;0;0;1;0
2465006;0;0,17;0,17;0;0,67
2465287;0;0;0;1;0
2467824;0;0;0,4;0;0,6
2467854;0;0;1;0;0
2509225;0;1;0;0;0
2516363;0;0;0,4;0;0,6
2519866;0;0;0;1;0
2574653;0;0;1;0;0
2582797;0;0;0;1;0
2601175;0;0;0;0;1
2622719;0;0,16;0,16;0,68;0
2658740;0;1;0;0;0
2675268;0;1;0;0;0
2688844;0;0;0;1;0
2700660;0;0;0,33;0,67;0
2708236;0;0,5;0,5;0;0
2712611;0;0;0,25;0;0,75
2783677;0;0;0;1;0
2784779;0;0;1;0;0
2800794;0;0,2;0;0,8;0
2803212;0;1;0;0;0
2821056;0;0;0;1;0
2825739;0;0;1;0;0
2836576;0;0;0,8;0;0,2
2867249;0;0;0;1;0
2868327;0;0;0;1;0
2880233;0;0;0;1;0
2882131;0;0;0;1;0
2883149;0;0,25;0;0,75;0
2904854;0;0;0;1;0
2907107;0;0,12;0,25;0,12;0,5
2908938;0;0;0;1;0
2913584;0;0,07;0,21;0,71;0
2919864;0;0,91;0,09;0;0
2922979;0;0,24;0,06;0,71;0
2958060;0;0;0;1;0
2966100;0;0;0,43;0,57;0
2979737;0;0,29;0;0,71;0
2992531;0;0;1;0;0
3009835;0;1;0;0;0
3009929;0;0;0;1;0
3023010;0;0;0;1;0
3023561;0;0;0;0;1
3024812;0;0,14;0;0,67;0,19
3025966;0;0;0;1;0
3030252;0;0,53;0,4;0,07;0
3085718;0;0,32;0;0,68;0
3094513;0;0;1;0;0
3095223;0;0;0;1;0
3096616;0;0;1;0;0
3097545;0;0,5;0;0,5;0
3116247;0;0;0;1;0
3127049;0;0;0;1;0
3128904;0;0;1;0;0
3132913;0;0,06;0;0,94;0
3140150;0;0,06;0,35;0,12;0,47
3140369;0;1;0;0;0
3141567;0;0,25;0;0,75;0
3142712;0;0;1;0;0
3146592;0;0,03;0;0,96;0,01
3151232;0;0;0;1;0
3156590;0;0,06;0,32;0,47;0,15
3160540;0;0,12;0;0,88;0
3163507;0;0;0;1;0
3171105;0;0;0,25;0,75;0
3179384;0;0;0;0;1
3185678;0;0;0;1;0
3194533;0;0;0,33;0;0,67
3204408;0;1;0;0;0
3204648;0;0,13;0,29;0,58;0
3205494;0;0;0;1;0
3208941;0;0;0;1;0
3216353;0;0;0,17;0,5;0,33
3228727;0;0;0;0;1
3228920;0;0;0,5;0,5;0
3228989;0;0;0;0;1
3235534;0;0;0;1;0
3251504;0;0,02;0;0,02;0,95
3255483;0;0;0;0;1
3256667;0;0;0;1;0
3259883;0;0;1;0;0
3262633;0;0;0;0;1
3265185;0;0;0;1;0
3268204;0;0;0;1;0
3269953;0;0;0;0;1
3269963;0;0,39;0,09;0,52;0
3270640;0;1;0;0;0
3273946;0;0;0;1;0
3275032;0;0;0,33;0,33;0,33
3275188;0;0;0,01;0;0,99
3275635;0;0;0;0;1
3275870;0;0;0,17;0,17;0,67
3291164;0;0;1;0;0
3296754;0;0;0,12;0,31;0,58
3298086;0;0;1;0;0
3305356;0;0,25;0,25;0,5;0
3309248;0;0;0;1;0
3313410;0;0;0;1;0
3320590;0;0;0;1;0
3322825;0;0,07;0,07;0,86;0
3324768;0;0,02;0,17;0,76;0,05
3326817;0;0,33;0;0,67;0
3352464;0;0;0;1;0
3360477;0;0;0;1;0
3369385;0;0;0;1;0
3370197;0;0,44;0;0,33;0,22
3372864;0;0;0;1;0
3379835;0;0;0;1;0
3381212;0;0;0,33;0;0,67
3382539;0;0;0;1;0
3390495;0;0;0,33;0;0,67
3398280;0;0;0;1;0
3399007;0;0;1;0;0
3415115;0;0;0;1;0
3415670;0;0;0;1;0
3417134;0;0;1;0;0
3417803;0;0;0,33;0;0,67
3419141;0;0;0;0,43;0,57
3430609;0;0,12;0;0,88;0
3436924;0;0;0;0,25;0,75
3444294;0;0,21;0,57;0,21;0
3451384;0;0;1;0;0
3456318;0;0;0,33;0;0,67
3457197;0;0,15;0,05;0,8;0
3466885;0;0;0;1;0
3472381;0;0;0;1;0
3472477;0;0;0;1;0
3479146;0;0;0;1;0
3480111;0;0;0;1;0
3485888;0;0;0;1;0
3500161;0;0;0;1;0
3502039;0;0,22;0;0,78;0
3503800;0;0;0;1;0
3505343;0;0;0;0;1
3506814;0;0,43;0,14;0,43;0
3509250;0;0;0,25;0;0,75
3510475;0;0;0;1;0
3511093;0;0,29;0;0,56;0,16
3520698;0;0;0,5;0,5;0
3522393;0;0;0;1;0
3523298;0;0,43;0;0,57;0
3524624;0;0;1;0;0
3527892;0;0,26;0,01;0,72;0,01
3535949;0;0;0;1;0
3537646;0;0;1;0;0
3541667;0;1;0;0;0
3558527;0;0,06;0;0,94;0
3567429;0;0;0;1;0
3568012;0;0;0,08;0,92;0
3571742;0;0,22;0,44;0,33;0
3572491;0;0;0;0;1
3575484;0;0,33;0;0,67;0
3582295;0;0,03;0;0,95;0,03
3589389;0;0;0;1;0
3592016;0;0;0;1;0
3592780;0;0,12;0;0,88;0
3592979;0;0;0;1;0
3596353;0;1;0;0;0
3596910;0;0;0;1;0
3599802;0;0;0;1;0
3608404;0;0;0;1;0
3609301;0;0;0;1;0
3611018;0;0;0;0;1
3614702;0;1;0;0;0
3615984;0;0;0;0;1
3617149;0;0;1;0;0
3618971;0;0;0,33;0;0,67
3654766;0;0;0;1;0
3657609;0;0,11;0;0,89;0
3659346;0;0;0;1;0
3662702;0;0;0;1;0
3666208;0;0;0,3;0,7;0
3669356;0;0;0;1;0
3670514;0;1;0;0;0
3675618;0;0;0;1;0
3678865;0;0;0,17;0,17;0,65
