Suma de $ Venta	Etiquetas de columna				
Etiquetas de fila	Lubricantes	Neumaticos	Repuestos	Servicios	Total general
2016	 $1.429.113.490 	 $13.538.897.688 	 $13.246.986.151 	 $724.770.863 	 $28.939.768.192 
2017	 $1.580.263.562 	 $16.555.450.528 	 $13.869.800.808 	 $921.874.087 	 $32.927.388.985 
2018	 $1.522.192.930 	 $16.439.173.796 	 $12.972.508.026 	 $952.687.185 	 $31.886.561.937 
2019	 $1.945.160.855 	 $19.959.830.312 	 $13.294.336.329 	 $1.128.693.702 	 $36.328.021.198 
2020	 $2.152.301.330 	 $27.397.651.973 	 $12.692.304.796 	 $1.075.733.389 	 $43.317.991.488 
2021	 $2.055.107.892 	 $28.926.667.363 	 $11.778.048.179 	 $1.027.221.541 	 $43.787.044.975 
Total general	 $10.684.140.059 	 $122.817.671.660 	 $77.853.984.289 	 $5.830.980.767 	 $217.186.776.775 
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
Suma de $ Venta	Etiquetas de columna				
Etiquetas de fila	2021				
Lubricantes	4,69%				
Neumaticos	66,06%				
Repuestos	26,90%				
Servicios	2,35%				
Total general	100,00%				
